epoch,step,test_loss,train_accuracy,train_f1_score,train_loss,val_loss
0,781,,,,,0.27160555124282837
0,781,,0.8808799982070923,0.8808799982070923,0.45453566312789917,
1,1563,,,,,0.19979871809482574
1,1563,,0.9313600063323975,0.9313600063323975,0.2410380244255066,
2,2345,,,,,0.16196291148662567
2,2345,,0.9476199746131897,0.9476199746131897,0.18613630533218384,
3,2346,,,,,0.16196271777153015
3,2346,0.1748843640089035,,,,
