epoch,step,test_loss,train_loss,val_loss
0,49,,0.9491653442382812,
0,99,,0.7292114496231079,
0,149,,0.6262040138244629,
0,199,,0.3053486943244934,
0,249,,0.23418103158473969,
0,299,,0.3115113377571106,
0,349,,0.39587604999542236,
0,399,,0.28762704133987427,
0,449,,0.2630000412464142,
0,499,,0.2980983555316925,
0,549,,0.35239484906196594,
0,599,,0.401713490486145,
0,649,,0.24845148622989655,
0,699,,0.35013753175735474,
0,749,,0.262069433927536,
0,781,,,0.2514444589614868
1,799,,0.33670079708099365,
1,849,,0.12660720944404602,
1,899,,0.29320788383483887,
1,949,,0.20652835071086884,
1,999,,0.17688381671905518,
1,1049,,0.22887271642684937,
1,1099,,0.16435129940509796,
1,1149,,0.2185036689043045,
1,1199,,0.34880828857421875,
1,1249,,0.11329548060894012,
1,1299,,0.25038206577301025,
1,1349,,0.06105179712176323,
1,1399,,0.24530813097953796,
1,1449,,0.25663429498672485,
1,1499,,0.13879667222499847,
1,1549,,0.20333373546600342,
1,1563,,,0.1859709769487381
2,1599,,0.12557649612426758,
2,1649,,0.11462634056806564,
2,1699,,0.20851102471351624,
2,1749,,0.18135301768779755,
2,1799,,0.15617714822292328,
2,1849,,0.26842907071113586,
2,1899,,0.19347785413265228,
2,1949,,0.24303928017616272,
2,1999,,0.11044681817293167,
2,2049,,0.11968501657247543,
2,2099,,0.18279090523719788,
2,2149,,0.16820120811462402,
2,2199,,0.2445937991142273,
2,2249,,0.12524262070655823,
2,2299,,0.23869948089122772,
2,2345,,,0.14498327672481537
3,2346,,,0.14498315751552582
3,2346,0.1583767980337143,,
